,영화'맘마미아1' 감상평
213,Perfect!!! 진짜 너무 힐링이었다
214,이제 다시 보니 어릴때 보았던 그저 유쾌한 뮤지컬영화가 아니였구나..무수한 감동과 환희들이 별빛처럼 내게 쏟아져 들어온다
215,"내용은  별로 없고,노래만 듣게 되네요.여친과 2편을 예매하려고,1편을 먼저 봤는데,뮤지컬 영화가 생소해서 그런지 별로네요.하지만, 영화는  잘 만들어진 것 같아요.여친는 좋아할듯."
216,원래 좋아하던 영화인데 2를 보고 보니까 더 새롭게 느껴졌어요 역시 최고
217,넘 좋다 진짜 인생 영화..ㅠㅠ
218,10년후 엄마와 다시본영화1편과다르게 2편에선 많은생각과 눈물이났다. 나도 아기를낳은 엄마가됐기에.10년이 지난뒤3편이나오면 또엄마랑 같이볼수 있을까..혼자 앉아 이영화를 다시마주한다면 목놓아 울거같다
219,진짜 1이 최고다 1이 있었기에 2도 나올수있었다. 영화자체에서 나오는 흥겨운 느낌과 기운에 그냥 어느새 몸이 움직이고있다.
220,다시 봐도 인생영화 비포선라이즈급 영화 이다. 자식과 엄마 애인과 나 엄마의 인생 모든것을 담은 뮤지컬 영화다 노래 배우 연기 빠지는것이 없는영화
221,1탄의 댄싱퀸은 정말 최고의 작품이다 도나엄마 보고싶어요 ㅜㅠ
222,댄싱퀸 나올때 눈물 나옴. 맘마미아 영화를 이제서야 처음보는데 엄마와 딸이 보기 좋은 영화임.
223,그니까요. 왜 저도 Dancing queen 을 들으면 울컥하는지..
224,맘마미아 2보기 전에 봣다가 다시 보고 싶어서 돌앙호ㅓㅅ어요 보곳ㅍㅎ다  영화관에서 재개봉 언 해요>?
225,너무 재밌네요♡ 최고에요
226,편하게 보기 좋음 음악 영화
227,취향차이.... 노래는 분명 좋지만 오버스러운거랑 스토리가 별로..
228,엄마랑 같이보기 너무 좋은 영화
229,배우들 연기력도 대단하고 감독의 연출력도 대단하다.
230,"한줄요약: 아이고, 내 결혼식인 줄 알았는데 울엄마 결혼식이었네 ㅠ 아만다의 리즈시절 외모와 예상치 못한 가창력이 사나이 가슴에 불을 지피는 영화."
231,눈과 귀의 즐거움을 주는 영화
232,너무 감동적이다. 크고보니 어릴 때 봤던 그 영화가 아니었다.
233,이영화 특징 여자가 집안일 안하고 춤추는게 맘에 안드는 남자들만 스토리 막장이라고 욕함 ㅋ
234,벌써 10년이나 되었다니 다시봐도 감동입니다
235,"억지로 쥐어짠듯한 내용과 연출. 하지만 OST는 너무나도 좋았다,,"
236,1 없인 2도 없었어요 감동 ㅠㅠ
237,1 없인 2도 없었어요 감동 ㅠㅠ
238,영화 전체를 이끌어가는 ost 의 힘
239,억지스러운 스토리. 보는내내 내가 뭘 보고 있는 건가...
240,이게 왜 평점 8.44밖에 안되는지.. 9점 이상은 되어야 한다고 생각한다 청량음료 마신거 같은 풍경과 음악의향연 인생영화.
241,"레미제라블,비긴어게인,라라랜드,위대한쇼맨. 다 재밌게봤는데 맘마미아를 이제야 봄. 스토리 배경설정 막장과 뜬금없는 전개 등에 실소. 여배우들 비쥬얼이 하... 영화에 너무나 몰입이 안됨. 아바의 노래만 좋다."
242,도나의일기에적힌세남자피어스브로스넌스텔란스카스가드콜린퍼스를결혼식날자신의손을잡고입장해줄아빠로초대한소피그리스섬에모우모여과거의사랑을그리고현재의사랑을그리며신나게노래부른다♬은진구로아빽빈스브로아직도기대가많은그대♬자유롭게사랑하고자이브를추며인생을즐기는바로우리가댄싱퀸♬
243,굿굿굿굿역시노래가좋아야
244,아만다 사이프리를 볼그뿐.
245,영원한 나의 인생영화!
246,기괴한 스토리도 아바의 노래와 함께라면
247,즐겁고 따뜻한 가족 영화
248,감히 말할 수 있는 내 인생 최고의 영화
249,뮤지컬 영화하면 바로 생각나는 이름. 뮤지컬 맘마미아도 꼭 기역해줘요.
250,진짜감동이었어요♡♡♡
251,진짜 최고의 영화!!!!
252,저런 섬에서 살면 맨날 바캉스온기분 ~맨날 맨날 소 풍온기분~노래가저절로~~
253,얼마전에 맘마미아1 안본채로 2를 보고 좀전에 1을 봤는데 진짜 멋진 영화다.. 왜 이걸 이제서야 봤나 싶다 왜 명작인지 알거같다아만다 사이프리드 너무사랑스럽고 목소리도이쁘고  메릴스트립 연륜도있으신데 노래도잘하고 연기도잘하고 매력에 빠져들려고 한다
254,내 인생 영화.. 맘마미아1 재개봉 해줬으면.
255,힐링이되는영화임많이보세요
256,"영화에서 The Winner Takes It All이나, Dancing Queen이 나오는 장면들을 최고로 꼽는데...이 영화에서 최고의 엔딩은 엔딩크레딧이 올라갈때 아만다 사이프리드가 부른 Thank you For The Music 이 흐를때였다."
257,"최고. 진짜 스토리부터 ost에 연기실력, 가창력까지 완벽해요."
258,정말 기분이 좋아지는 영화입니다
259,이미 늙었다 생각하던 나에게 뒤통수 크게 한방 날린 영화
260,"음.. 중후반부에 괜찮다 싶은 장면이 있기는 했지만, 저는 전반적으로 뭐지?싶은 영화였어요. 2편이 나온다고 해서 1편을 다운받아 본건데, 음 글쌔요?  그렇지만 나쁘지는 않았어요. 시간 때우기로 본다면 볼만합니다!"
261,지루하다는거 1도 못느꼈다. 진짜 재밌는 영화.
262,서양식 개막장 드라마 ㅋㅋㅋㅋ 2탄을 기다리며 복습겸 다시봐도 꿀잼
263,댄싱퀸 노래나올때가 최고
264,1점 준 애들은 보긴 봤냐 이거?
265,밥맛 아줌마들을 살리는 아바의 명곡들!
266,모든것이 좋은 인생영화
267,아바를 정말 좋아하고 메릴 스트립과 다른 배우들이 직접 노래했다는 점에 매우 놀라웠고 아만다 존예이긴 하지만 이런 스토리는 현실에선 정말 막장오브막장ㅋㅋㅋㅋ 그냥 아바의 명곡들을 감상한다는 것에 의의를 두어야함
268,진짜 최고다 2너무 기대된다!!!
269,아만다 사이프리드 왤케 예쁘죠?
270,노래랑 배경은 너무 좋은데 스토리가 너무 빈약하다. 왜이렇게 대작취급 받는지 모르겠다
271,"누가 애빈지 모르겠으면 유전자 검사를 하면 되지,,노래만 부르고 잇네"
272,our last summer 진짜 너무 좋아서 그때 cd로 듣고 그랬는뎅ㅋㅋㅋ 2 너무 기대된다
273,ㄱㄹ짓해서 애비가 누군지 몰라? 이게 어케 심의 통과 했지? 19금때려라 애들 보기 민망하다
274,언제봐도 벅찬 기분을 들게하는 영화
275,영화가 끝날때까지 신난다! 그래서 아빠는?
276,스토리와 음악의 완벽한 조화
277,아맘다 사이프리드 짱 정말 재밌어요
278,"10년만에 속편이 나오기에 다시 본 맘마미아..그저 신나고 눈이 즐거웠던 작품으로 기억됐었는데 세월이 흐른 지금은 어느샌가 눈물이 난다..이제는 엄마의, 자식의, 그 마음까지 느껴지는 나이가 되었나보다~그렇게 나의 최고의 뮤지컬 영화로 남는다."
279,보는 내내 행복한 영화다
280,파란 지중해와 음악. 눈과 귀가 즐거운 익숙한 뮤지컬 영화. 아~ 나도 지중해 가고 싶다.
281,음악부터 배경까지 완벽한 영화
282,아만다가 살렸다. 아바가 살렸다!
283,시간을 멈춰달라고 노래할때 진심 울뻔했어...ㅠ...감정이 딱 담겨있어서..
284,"열번을봐도 설레고 신나는영화. 맘마미아2를 기다리면서 이 기다림조차 설렌다. 8월 8일까지 내내 행복할거같은 나의 맘마미아, 정말 내인생 최고의영화"
285,아바의 노래가  좋은거지 영화는 그냥 볼만한 정도.
286,솔직히 노래말곤 그닥인데? 내용도 지루하고
