,영화'맘마미아1' 감상평
991,즐거움과 감동을 함께 가져다 주는 영화~~ 봐도봐도 질리지 않는...^^
992,봐도봐도 질리지 않는 영화~~
993,또 한번 보고싶당~
994,"두번째 보는데,..  더욱 아름답게 느껴진다.  OST도,.. 내용도,."
995,참.. 좋다! 영화를 보고 OST를 그냥 지나친 사람이 있을까?
996,명배우들과 명곡들의 힘.
997,좋아요ㅎ
998,중반에 약간 지루한감이 있었지만 정말 훈훈하고 좋네요 10점 !!!!!!!!!!
999,좋아요~
1000,신선한 영화~
1001,내가 사랑하는 사람에 대해 사랑을 다시 시작하게 할 수 있는 영화...
1002,ㅈ더샂
1003,"설 특선영화로 봤는데, 너무 제미있었어요. 노래부르는 장면들 너무 멋졌어요...^^"
1004,보는동안 정말 행복해요
1005,"도나가 ""The Winner Takes It All""을 부르는장면은 아직도 기억에남는 명장면"
1006,너무 너무 재미있게 봤습니다... 음악 짱!!! 스토리 짱!!!
1007,이렇게좋은 영화는 처음 봐요 완전 좋아요
1008,안먹어도 배부르다는 말을 이럴 때 쓰는 영화 happy~
1009,음악은 좋은데 내용이 너무 평범하다. ;; 그리고 브로스넌은 캐스팅에러
1010,신나네요!!
1011,맘마미아처럼 맘에 쏙 드는 영화를 본적이 없어요!!!!!! 그냥 최고!!!!
1012,역시최고최고최고!!!!!!
1013,노래로 가장 오래 기억되는 영화
1014,아바의 노래 어찌이루말로 표현할수잇으랴...!
1015,제가 브로드웨이에서 맘마미아를 봤는데 영화로 볼까요? 말까요?
1016,이거 정말 소름돋을 정도로 정말 멋있는 영화에요!!
1017,가볍게 기분전환으로 본 영화다. 8점에아만다사이프리드나와서 +2점
1018,"연기8, 플롯6,대본7,OST10 : 즐겁게 볼 수 있는 유쾌 상쾌한 영화. 가족영화로도 추천"
1019,만점짜리 ^ㅡ^
1020,재밌게봤어요~ㅋ
1021,노래는 좋지만 내용은 별로..역시 음악영화는 내스타일이 아닌듯..
1022,와우 정말 내 스타일임
1023,ost 구입하게 되네요.
1024,ABBA의노래와 스토리가 잘 어울렸던 영화^-^ 한마디로표현하자면 유쾌상쾌통쾌?
1025,"ost도 너무너무 좋고, 정말 좋았네요^^"
1026,아바의 노래가 아니었다면 그나마도 성공하기 힘들었던 영화였을것이다.
1027,난내가 재밌게봤으니
1028,재작년 가을에 오리CGV에서 보고 어제 TV에서 또 봤는데도 질리지 않고 재미있었어요~
1029,맘마미아! 보고싶당
1030,아직도 안 보신 분이 설마 있으려나
1031,춤과 노래를 좋아하는 한국인에겐 안성맞춤영화.
1032,맘마미아최고!!!
1033,나온 음악 모두 친숙해서 나도모르게 따라부르게 되네요 막장 스토리는 봐줄만
1034,"일부 안무,가창력에 문제있지만 아름다운 배경,음악으로 볼만함."
1035,메릴 스트립이 뮤지컬에 도저히 안어울린다.
1036,영화용 시나리오가 아닌듯... 아바음악 5점쳐서 6점.
1037,아바의 음악도 너무 좋았고 배우들의 연기도 훌륭했어요.
1038,신나는 음악과 약간은 막장인 듯한 스토리..;;
1039,나랑 안맞다
1040,아바노래정말최고네요~!! 영화즐겁게잘봤어요~^^
1041,오늘 TV로 보고 후회했다.  -----------------------영화관에서 안본걸
1042,10년 후에 다시 봐도 재밌을 거 같은 명작이에요
1043,towk78//저도 소싯적엔 당신같은 생각을 했던적이 있었죠..무비컬은 유치할꺼라고...
1044,짱이에요!!!!!!!
1045,"아,  요즘에 전우치 이런거나 보다가 이거보니까 진짜 재밌네요 ㅋㅋ장난아님 강추 !"
1046,가슴이 뛴다
1047,진짜 자기 감정을 노래로표현하는것이 아름다워요 . 최고의뮤지컬영화임 꼭보세요
1048,와~ 너무너무 재미있네??ㅎㅎ 두번이나 울었어 감동열정해피로맨스!!^-^
1049,지금설특집으로해주는뎅 짱재밋음~
1050,"대사는 노래로 들리고,노래는 대사같이 자연스럽고..더이상의 뮤지컬영화가 있을까?^^"
1051,맘마미아는 언제봐도재밋음><ㅎㅎ>
1052,진짜 최고 굿..!
1053,최고임ㅋㅋㅋㅋㅋ엄청좋아하는영화인데오늘하네요~노래짱이져!!
1054,그거 줫1나 재미없는데 머가 재밋지? 제밌다고하는분들 어리시네.
1055,완전 내용이 재밌네요 ㅋㅋ 이영화는 짱
1056,평점낮게 주는 사람이 이해가 안가는 영화
1057,"50% , 반쪽 영화,"
1058,적정 평점 6.5점....
1059,"good!메리르트립연기,노래잘하지 아만다 예쁘지 정말미치겠네"
1060,총알을 막고 콜라를 사이다로 바꿀 수 있는 위대한 음악의 힘!
1061,마지막까진못봤는데 진짜재밌고 노래가 너무좋음
1062,즐거운영화네요~
1063,ABBA여 영원하라!!
1064,영화와 분위기는 좋은데 스토리가 별로 없다. 캐주얼 영화같은 느낌이 드는...
1065,"노래들도 좋고, 아름다운 섬풍경도 좋았지만... 스토리가 조금 맘에 안들었어요."
1066,웅냥냥
1067,"뮤지컬 영화는 이래서 좋앙 음악도 좋고 , 한편에 뮤지컬을 보는듯..."
1068,끝까지보다가 자써
1069,밝고명쾌한분위기선호자인지라^^
1070,감동~ 즐거워요 ^^
1071,사랑해요
1072,처음부터 끝까지 발랄하고 행복했던 영화! 노래 굿 잡!
1073,음악은 좋았다. 뮤지컬로 보는게 더 재밌음.
1074,음악은 좋은데 뒤로 갈수록 영 .. 걍 영화로는 재미없다
1075,아바와 메릴스트립이 영화의 80%
1076,다른 사람들은 어땟을지 모르겠지만 정말 나하곤 안맞는 영화...
1077,정말재밌네요!! 모녀간의사이도 보기좋고~ 아바노래가사도다좋아요!!
1078,재밌고 ost를 피아노로 칠 만큼 제가 좋아하는 영화에요!! 완전 재미
1079,그닥
1080,보는 내내 즐겁고 신나고 ^^ 아바의 명곡들과 아름다운 배경이 참 좋은 영화군요 ^^
1081,포스터 하나는 참 그럴듯함. 역시 영화는 포스터가 중요해
1082,엄마랑 같이 보았는데 감동도 있었고 재미있었음 흥겨워서 추천 ㅎㅎ
1083,보는내내 경쾌함과 흥겨움의 연속 ㅎㅎ
1084,존나재밌어
1085,아바의 세대가 아니라서 리얼한 감동은 안온다
1086,전체적으로 좀 아쉽지만 아바의 노래(피어스브로스넌 빼고;)와 예쁜영상만으로도 행복
1087,비추
1088,재밌긴 했는데 점점 지루해지는거...
1089,재밌는것같은데 그날따라 졸렸던건왜일까
1090,정말뮤지컬영화라는 느낌을받았다 영화에서나오는 노래들 전부 신나고최고엿다 'ㅁ'!
1091,여자한테는정말최고영화일것같다.정말 노래 신나고 최고로 유쾌했다.ㅎ
1092,지루~~
1093,노래들이 너무 신나요~ 보고 나서 기분이 정말 신나짐 ㅋㅋㅋ
1094,가볍게잘봤습니다
1095,아만다 사이프리드 ♡
1096,진짜 여기나오는 노래들 다 좋은.......
1097,즐겁다!!
1098,아 존나 재미없어 보는내내 지루 노랜 왜 또 쳐불러
1099,닥치고 만점
1100,재미다
1101,뮤지컬이 역겨워 보이긴 처음... 7080만 좋아할 노래빨 영화~
1102,"영화를 즐겁게 보고난 후, 메릴 스트립이 49년생이라는 걸 보고 깜놀!!"
1103,맘마 미아!
1104,왜 5점이상이 없는거지 ABBA노래만 해도 8점인데
1105,굳
1106,그럭저럭
1107,진짜재밋다 ㅋㅋㅋ평점주려로긴한적처음!
1108,굿!
1109,재미서
1110,사랑스럽다. ^^
1111,"노래, 배우, 풍광 모두 즐겁다."
1112,뮤지컬로 느낀 감흥을 영화로 느끼긴 부족했다... 뛰어난 영상미는 인정
1113,콜린퍼스의 굴욕 ㅋㅋㅋㅋ  ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋ ㅋㅋㅋ?
1114,좋은거 같던데..
1115,한편의 뮤지컬을 스크린으로!! 댄싱퀸 아이해브어드림! 맘마미아! 짱짱
1116,재밌다..
1117,콜린퍼스 만세
1118,영화로 만들어도 잘만든 작품!
1119,매우 신나고 발랄한 뮤지컬 영화 ! 노래 너무 좋다..
1120,밋밋한 연출이 아쉽지만 아바와 함께라면 그들 모두 사랑스럽다
1121,good
1122,기막혀요!!!!
1123,내가본 영화중에 재미있고 음악이 좋다
1124,음악좋아요~
1125,내가본영화중최고다
1126,뮤지컬에 전혀 OOO않네요 굿!!!!
1127,너무멋져요
1128,줄거리가 약하다. 생각없이 보면 괜찮은 스토리. 그러나 왜?
1129,배경도 너무 이뻤구요 재밌었어요~
1130,기대만큼기대치에미치지못했음..노래빼면뭐없는영화
1131,뮤지컬은 그리 좋아하지 않지만 이렇게 신날수가 아바의 노래와 너무 잘 어울린다
1132,아바의 노래로 뮤직비디오를 만들었군.
1133,음악 빼면 별거 없음.-_-;;;
1134,누구나 흥겹게 노래에 흠뻑 빠져들 수 있는 그런 힘을 지닌 영화입니다 넘좋아!!!!
1135,음악이나올때마다흥이난다
1136,재미 없을줄 알았는데... 완전재밌음...
1137,두번이나 본 이 영화. 매우 인상깊네요 ^^
1138,지금껏 봤던 영화중 최고!
1139,이건 진짜 100점
1140,이래서 사람들이 뮤지컬영화를 보는구나...시간가는줄 몰랐음
1141,음악이 아니었다면 정말 졸작인 영화...
1142,유쾌하네요
1143,메릴스트립 진짜 최고의 연기자다.  한번만 보긴 아까운영화.
1144,노래만 좋다.
1145,아바의 노래와 메릴 스트립의 황홀한 노래로도 충분한 뮤지컬 영화이다.
1146,아바의 명곡들로 채워진 유쾌한 뮤지컬 영화..재밌었다..
1147,쵝오!
1148,경쾌한 영화인데 왠지 눈물이 한 방울...
1149,그냥 그냥 나의 기분을 좋게해준 영화 재밌어요
1150,괜찮은 작품
1151,유쾌했다.. 할머니들 멋졌음ㅋㅋㅋㅋ 노래도 너무 좋았다
1152,영화로 본 맘마미아 색다르네.. 잼있게 봤음
1153,아바 노래만 갖다 박아놧네... 근데 좋은건 뭐지???
1154,여기서나오는 노래 모두 좋아요 ㅎㅎ
1155,최고였음. 따뜻하고 사랑스러운 영화. 감동이 물씬. 나에겐 2008 최고의 영화임.
1156,극장에서봐서인진몰라두 잼이땅 아바노래도짱짱
1157,그닥.....ㅋㅋㅋ
1158,최고ㅋㅋㅋㅋㅋ 재미있게봤다.
1159,발랄하고 사랑스러운..
1160,별 천박한 영회를 다 보겠군~ 할머니들이 뛰어노는 장면은 정말 토할것 같다!
1161,콩가루집안을 미화시켜주는 뮤지컬영화
1162,아바의 음악들로 짜낸 스토리치곤 평범했다.그리고 성의없는 군무연출.
1163,진짜 별루~~음악만 좋네~~~
1164,그리스식은 이 남자 저 남자랑 즐기는거?? 뭐냐...생각보다 줄거리가 약하다...
1165,보고 진짜 놀랬다...너무....60년대 영화라해도 믿겠다..내용도 그저그렇고..난 별로
1166,학교에서맨날틀어주는영화!봐도봐도안질린다는ㅎㅎ
1167,너무 재밌어요!!!!
1168,음악만으로도 더 바랄 것이 없다
1169,다양하고 유명한 음악을 들을수있었어요. 조금 지루한 감이 있긴해요.
1170,솔직히 이 따위는 최졸작이다. 메릴 스트립의 연기에 대한 열정이 가상해 .. 봤음 .
1171,영화관에서 울며 웃으면서 봤어요 +_+
1172,극장에서 보고 집에서 또 봤습니다. 지중해의 그리스 마을도 멋있고 노래도 즐겁고
1173,맨 뒤였으면 진작 춤췄음 ㅋㅋ 소피 목소리가 너무 좋아~ ㅋㅋ
1174,재밌고 즐겁고 신나는 영화~
1175,노래가 너무 좋네요 분위기도 좋고
1176,진심재밌당
1177,쫭이야
1178,신나는 음악~ 그것만으로도 만족스럽다구
1179,30년이 지나도 ABBA의 음색은 통한다! 역시 맘마미아!
1180,난왜케재미업짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1181,당연히 뮤지컬보다 낫구나
1182,잼썼음 ㅋㅋㅋ 노래는 다른 팝송에 비해 배우기 조낸 쉬움 추천ㅋㅋㅋㅋ
1183,노래 나올때 빼고 지루해 죽는줄ㅠㅠ 과대 광고로 짜증 지대로 났던 영화.
1184,완전 재밌게 봤어요!!
1185,별론데
1186,너무 너무 재밌게 봤어요.. 완전 감동이에요~~
1187,재밌게봤어요 ㅠㅠ 노래 짱좋음 ㅠㅠ
1188,진짜 좋았다. 보면서 제대로 미소지을수 있었던 영화.
1189,"주인공 너무 사랑스럽고, 음악도 좋은데. 엄마가 선택한 남자가 맘에 안들어! 흥."
1190,오리지널 뮤지컬 보고싶다...
1191,으 손발이 오그라드는 영화 ㅋ
1192,물랑루즈보고 이거 봐라. 이건 영화도 아니다. 차라리 돈 주고 가서 뮤지컬 보겠다.
1193,너무 재미있엇어여.
1194,"100점 줘도 안 아까운 영화. 메릴 스트립의 황홀한 연기, 조연들의 원더풀 가창력"
1195,진짜 재미없다...
1196,메릴 스트립. 정말 보물이다
1197,음악은 좋다...하지만 스토리는 막장...ㅡㅡ;;
1198,솔찌키 영화 막 만든거같다
1199,학교에서 틀어주길래봤는데...대충봐서 그런지 재미하나두없던데ㅠㅠ-2008/?/?-SCHOOL
1200,글쎄.. 좀 대충만든거 같다.. 뮤지컬 영화치곤.
1201,최고의 영화! 내 인생에 활력소!
1202,진심으로 재미 없었다;; 인상적인 장면도 없고 물 흐르듯;;
1203,경쾌한 사랑의 멜로디!
1204,10점 만점에 100점!!!
1205,잼썼었영
1206,뮤지컬 영화는 나랑 안 맞구나
1207,1시간반짜리의 지루한 뮤직 비디오....
1208,정말 재미있었어요^^ 사진 스크랩해갈께요~~
1209,행복해지는영화였다.^^
1210,맘마미아! 속에는 가슴 찡한 감동과 유쾌함과 행복이 있었다.
1211,흥겹고 재밌었음 ㅎ 영상도 신선했고~
1212,그냥 볼만했음..
1213,아바를좋아해서 영화까지좋아하게되네..
1214,'아바'를 알고 있다면 더 재미있을 수 있는 영화.
1215,다들 마약한것 같았다. 그만큼 내 정서와는 안맞는듯..
1216,볼만했다 ㅋㅋ 노래 좋네~ ㅋㅋ
1217,처음부터 마지막까지 노래와함께 유쾌하게 즐길수있는 영화^^
1218,소피처럼 깜찍하고 상쾌하고 유쾌한 영화!보는 내내 즐거웠다^^!
1219,"아름다운 배경, 아바의 명곡, 배우들의 열창.. 그것만으로도 충분했다!"
1220,잼있었어요~~~
1221,왜 내가 올린거 지우냐 네이버....
1222,노래가 모든걸 커버하는 영화..
1223,영화를 보는 내내 기분이 좋았다. 즐겁과 상쾌한 영화이다.
1224,추억의 아바 노래 감상
1225,"스토리는 그닥이였지만, 굉장히 유쾌하다"
1226,"뮤지컬은 나에게 별로 맞지 않나보다, 산만하게 느껴짐 ㅠㅠ"
1227,ㅋㅋㅋㅋㅋㅋ뮤지컬영화중 최고야 ..마지막에 좀 복잡햇찌만 그래도 최고!
1228,뮤지컬을 봤었는데 그때도 대박 잼있었고 영화도 대박이다. 흥행도 대박이라니 ㅋㅋ
1229,이런 장르는 별로지만 그래도 감동적인 이야기죠...
1230,너무 소란스러웠어...근데 소피는 예쁘더라*^^*
1231,ㅋㅋㅋ난 그저 그랬음 ㅋ 노래는 좋더라 ㅋㅋ
1232,계속 봐도 설렘과 감동이 변함없을 영화~!
1233,정말 볼 때 마다 너무 좋은 영화에요.
1234,영화 너무 좋네요~~
1235,아~ 잔짜 맘마미아 처럼 살고싶네요
1236,보고또봐도 질리질 않아..
1237,나랑 안맞아서 그런가....그냥 그저그랬음
1238,재밋음>_<
1239,그냥
1240,즐거움 만발... 흥겨운 만발... 하지만 스토리는 우리정서와는 헛발
1241,굿! 처음부터 끝까지 행복한영화는 이것뿐인듯? ㅋㅋㅋ 보는내내 행복
1242,춤을 추고 싶게 만든다. 노래도 좋고 가사도 좋고~
1243,내용보단 노래가 더 돋보이는 영화였다. 지금 생각해 보면 아주 뜻깊은 영화이다.
1244,즐거워지는 뮤지컬 영화~노래 너무 좋음 ㅎㅎ
1245,"카리스마 없는 메밀스트립의 춤사위 ""That's all"""
1246,와이거짱이다.학원에서공부다하면영화보는시간주거든요. 거기서이걸봤어요진짜강추
1247,유쾌하고재밌다.ABBA의 음악과 대작맘마미아를 영화화하면서 이정도도 못만들면 바보.
1248,좋아요~
1249,"기분 드러울 때 봤는데 충분히 기분전환에 도움됨, 말그대로 현실도피적인 재미."
1250,솔직히 최고의 뮤지컬 노래들이지만 갈수록 늘어진게 흠..
1251,"같이 뛰놀고 싶었던 영화! 한번보고 잊을수 없었던, 정말..이영화 기억에 남는다"
1252,굳굳굳 ㅠㅠ 꼭 실제로 가보고 싶어요 ㅠㅠ
1253,"음악, 영상이 너무 좋았다. 보는 내내 노래부르며 어딘가로 떠나고 싶다는 생각."
1254,노래가 너무좋아염
1255,신선한뮤지컬영화!! 보는내내즐겁고 재미있음
1256,뮤지컬 영화라기엔 부족.. 민망.. 생각없이볼만하다.
1257,"노래로 청각적으로 좋고, 아름다운 배경으로 시각적으로 좋지만 그게 전부"
1258,매 장면장면이 너무 아름다운 영화
1259,뮤지컬을 보는 듯한 느낌의 영화.
1260,ABBA 노래빼면 뭥미..........?? 노래가 그나마 1점이라도 살렸다.
1261,노래 정말 좋네요   볼만해요
1262,말로만 들어왔던 뮤지컬이지만 볼 기회가 없었는데 영화로 보고나서 꼭 보고싶어졌다
1263,시간아깝다. 차라리 아바의 원곡을 감상하는게 영화보다 훨~씬 마음에 와 닿을 듯...
1264,벅차오르는 즐거움을 느끼게 해준다.. 그들이 촬영하면서도 얼마나 즐거웠을까.
1265,아바의 팬이라면 적극추천..
1266,"즐거운 영화. ABBA 좋고, 아만다 사이프리드도 귀엽고."
1267,진짜 유쾌하고 즐거운 영화!
1268,콜린 퍼스 보는 재미만 해도 벌써 7점에 나머지 요소 3점 이건 뭐
1269,"아바의 주옥같은 명곡들, 뮤지컬 영화를 대표한다!"
1270,오랜만에 만난 행복한영화!!.살면서 한번쯤느끼는 여자들을위한 여자들을 향한영화!!
1271,뮤지컬말고도 영화로 나와서 너무 기뻤다..!! 노래도 너무 좋았어!!
1272,극장가서 보기엔 좀 아쉬운 영화인듯
1273,이 영화를 보면.. 인생은 아름다운것인데....
1274,참 괜찮은 영화네요.^^ 화면도 멋지고 음악도 좋아요.
1275,메릴스트립의 열정과 에너지만으로도 충분히 빛을 낸 영화
1276,Cool한 이야기 & 사랑스런 사람들의 하모니~!
1277,모두를 리듬에 맞치게 하는 음악만은 일품이다
1278,"솔직히 잘모르겠다,, 노래도 내용도,,"
1279,전정말 아름다운 영화라 생각하는데 아니신 분도 많네요 ㅎ
1280,극장에서 보고 돈아까워 죽는줄 알았다
1281,노래만 좋은영화. 지루한감이없잔아잇엇다
1282,음악만으로도 좋았다
1283,ost는 좋았지만 약간 지루했던영화
1284,"가장아름다웠던,,,,,,,,,,,,,그런 영화난 강렬한사랑하며 평상행복하게 살꺼야 ㅋㅋ"
1285,나도 모르게 아무생각 없이 행복해짐을 느낌~~~~
1286,조금 지루한듯한 스토리를 좋은노래들이 메꿔준다~ost는 최강!
1287,극장가서 영화 2번보기는 처음..
1288,"노래방에서 장윤정의 ""어머나""를 다함께 부르는 흥겨운 기분!!"
1289,물랑루즈보다 더 좋았다. 뮤지컬장르는 여전히 별로지만.
1290,진짜 농담아니구요.. 이렇게 재미없는영화 거의 없는거같애요... 정말루요...
1291,제가 이떄까지 본 영화중에 쵝오
1292,노래가 넘 좋아요!
1293,좋은 노래 잘 들었습니다.
1294,잼있어요^^
1295,아까운 1시간 30분. 그냥 드라이브 하면서 아바노래 듣는게 더 나을듯.
1296,극장에서만 3번 봤네요...ㅎㅎ..
1297,넘 좋아요~~
1298,별루 평점보다 못하다는 생각
1299,"난 별루, 그냥 그랬다.."
1300,아바의 노래와 어우러진 최고의 영화!
1301,볼만한영화
1302,즐거운 영화.. 30대층은 아주 즐겁게 볼 수 있겠지만 꼬꼬마들은..^^;;
1303,노래랑 연기랑 진짜 ART.... 진짜 명작인거같음. 우리나라엔 언제 이런영화가...
1304,몃번을 보아도 헹복해지는 영화~
1305,삶의 고난을 노래로 표현해내는 메릴스트립의노련미
1306,"좋은 배우, 좋은 노래, 좋은 배경, 좋은 이야기, 다 합치지 기쁨 4배,"
1307,유명한 노래와 최고의 배우들이 나온 영하로서는 아쉽지만 뮤지컬이니까 ...
1308,제 취향이 아니었네요....
1309,인생관까지 바뀔정도로 좋았습니다. 심장이 터질듯이 감동적
1310,너무 멎지다!!특히 댄싱퀸을 부르며 마을 주부들과 춤추는것이 환상적이다!!>ㅂ<
1311,진짜 재믺음
1312,See that girl 이것만으로도 즐겁다.
1313,그동안 생각해왔던 많은 생각들이 밝아진 느낌...
1314,"재밌고, 아바의 노래가 이 영화를 위해 만들어 진것같아요."
1315,노래하나하나가 좋슴니다~!이야기도좋고요
1316,노래가 아주 좋습니다.
1317,마지막에 바닥부분 터질때.. 필름너무이쁘드라.ㅠㅠ 10점!!
1318,최고!! 상큼한 영화! 보고나서 계속 생각나고 또 보고싶은 영화~
1319,중간에 졸았다. 지루해서.. 그것만 빼면ㅇㅇ
1320,진짜 재밌음.
1321,스토리는 그닥 하지만 음악에 빠져들어 100분내내 신이났다
1322,전체적인 내용은 무덤덤하나.. 어느새 나까지도 흥에 겨워하고 있는. 뭐지 이 영화는?
1323,뮤지컬같고 동화같은 영화.
1324,지루할틈없는! 노래도 좋고 정말 최고ㅋㅋㅋ
1325,영화에 녹아든 음악에 빠져든다. 확실한건 아바의음악은 이제 클래식이는 것이다
1326,최고의영화라고하기엔분명부족하면서도뮤지컬의장점을영화로옮기는데는효과적이었다
1327,재미없다.
1328,가슴설레고 행복한영화다~!!
1329,보고나면 기분좋아지는 영화!
1330,ㅎㅎ 재밌어뇨~
1331,그리스진짜가고싶당 ㅠ.ㅠㅋ영화는!!!!!!!기대만큼은..ㅜㅜ그래도 예쁜영화!
1332,많이웃고 많이 울었습니다. 너무 좋았어요 .
1333,뮤지컬 영화. 아바의 음악만 틀어주는 영화. 귀만 즐거운 영화. 지루하고 별재미없다.
1334,영화의 많은 단점들도 아바의 노래 앞에선 한낱 옥의 티
1335,괜찮았던 영화...
1336,완전 재미 없음
1337,진짜루재미있었습니다.
1338,정말 괜찮은 영화였습니다.ㅇㅇㅇ
1339,영원한 맘마미아!!
1340,보고또보고싶은영화
1341,나만 졸렸어??
1342,가볍게 보기엔 괜찮은 영화
1343,너무 재미밌었어요!!! 진짜 유쾌한영화!!
1344,기대하고 봤는데.. 내용 별로네여..
1345,유쾌한 영화^^
1346,정말재미있어요 ㅋㅋ
1347,재미있어요
1348,ㅋㅋ 재미따 괜찮은 뮤지컬 영화여써
1349,기분 꿀꿀할 때 봤는데 기분전환용으로 좋네요 ^^
1350,나는 아바 팬이다
1351,"4번봤따,.,"
1352,왜 이렇게까지 떴는지는 모르겠지만.. 아바의 노래와 메릴 스트립만으로 볼만함.
1353,눈과 귀가 즐거운 영화
1354,음..좋은데
1355,엄마께서 영화고 드라마고 싫어하시는데 같이 이거 보시고 푹 빠지셧음 ^^잼있었어요
1356,진짜 재미있었음 ㅋㅋㅋ
1357,즐겁게 본 영화
1358,여자분들이 좋아하실만한 그냥 가볍고 유쾌한 영화.아바노래 오랜만에 들으니 좋네요
1359,아바노래가 반은 먹고 들어감.
1360,나는 역시 뮤지컬영화가 흥미가 안느껴진다..ㅎ...
1361,그래도 유쾌하고 즐겁다!
1362,시간가는줄몰랐다. 재미있다 ^ ^
1363,평점이 왜이렇게 높은지 이해할 수 없다 음악점 5점만점 스토리 5점 0점
1364,굿
1365,"딸역으로 나온애 오버표정연기가 좀 부담스럽네,내가 동양인이라서그러나.."
1366,최고
1367,눈 감고 음악만 들었다...감독이 제정신이 아닌듯...
1368,재밌어요 ㅋㅋ
1369,왜 난 가면 갈 수록 좀 지루해졌지? ㅋ
1370,노래가 너무 흥겨웡~
1371,너무 잼다 유에스비로 한10번은봤음  안질림
1372,너무 재밌어요~~
1373,눈과 머리로 보지말고... 귀로 듣는데 만족하면 될듯...
1374,첨엔 밋밋하다생각됐는데 중반이후부터 눈물도 흘렸다..
1375,댄싱퀸을 들으며 울 뻔 했다.
1376,아바노래 모르면 잼없고 알면 잼있지 난 최고 잼있더라
1377,영화도 괜찮네요
1378,미소가 끊기지 않았던영화! 나도 저렇게 즐겁게 살고싶다는 생각을 하게만든 영화!
1379,노래가 너무나 좋았지만 연출이 아쉬웠음 8점짜리 영화라 생각 ^^
1380,영상이 많이 아쉬웠지만. ~
1381,재밌게잘봄
1382,여자들이 보면 열광할영화. 사람마다 다르겠지만 난 그다지 별로.
1383,몰러 난 아바의 음악에 빠져서 그냥 좋더라
1384,재미없엉
1385,이와같이 행복하고 유쾌함을 즐기려고 영화를 보기도 하지.. 보는내내흥이절로난다!
1386,보는내내 유쾌하며 시종흐르는 아바의 노래가 너무 즐거웠음..
1387,"최악... 몰입도 안 되고, 별로임"
1388,진짜 재미있었음;; 결말이 좀 깨지만 ㅠㅠ
1389,영화가 뮤지컬같은느낌에 처음엔 재미없을줄알았느데 흥미롭다.
1390,"맘마미아의 노래는 멋지고, 아름답고, 재미있습. 그리고 영화는 너무 감동적입니다."
1391,꼭보삼
1392,그다지 볼만하진 않앗는데 멜로디랑 좋앗는데.
1393,재미없엉
1394,뮤지컬적인 요소를 잘 지킨 뮤지컬 영화
1395,즐겁고 흥겨운 영화 !
1396,진짜 노래 말고는 내용같은 건 쥐뿔도 없구나
1397,감동도별로고 뻔한스토리에 긴장감도 없고 킬링타임용으로도 비추
1398,바다색깔 예쁘다
1399,재밌었다.  정말 뮤지컬영화중에 최고였던것 같다.
1400,산만한 연출.... 발로하나-_- 노래빼곤 쥐뿔도없네~ 노래아니였으면 취침용으로딱이다
1401,보는내내 지루했다.ㅡㅡ너무 기대하고 봤군.
1402,정말 재미있었어?
1403,"뮤지컬로못봐서그런지노래는 진짜좋은데 별로 재미없었어요,"
1404,초반의 흥겨움을 후반까지 끌고 가지 못한게 아쉽다
1405,우려먹기는 그만... 팝송으로 영어공부했던 추억만 되살아날뿐...
1406,노래가 정말 듣기 좋아요...^^
1407,정말 좋은 영화에요.
1408,마음훈훈해지는 영화
1409,노래가 좋아서 그런대로 볼만함.
1410,진짜 완전 재밌었고 메릴스트립 외2명 노래도 너무 잘하고 후회없음!
1411,아 재미없다.흑백 뮤지컬 영화가 백배는 낫다..
1412,노래는 반갑지만 메릴 스트립 대신 노래 잘하는 배우좀 쓰지..
1413,"유쾌하고 즐거웠지만 살짝 졸렸지, 콜린 퍼스 아저씨 안습ㅋ"
1414,난 아무래도 뮤지컬 영화가 안맞는 것 같다.
1415,남는건 아바노래뿐....
1416,전 배우들 목소리가 정말로 거슬리던데요;; 아바 음악때문에 끝까지 보긴했습니다만.
1417,스토리보다는 노래가 너무 좋아서 빛났던 영화.. 소피 너무 귀여워~~
1418,생애 최고의 영화
1419,신나고 감동이 있는 영화. 스토리와 음악이 잘 어우러진 듯..
1420,소피만 이뻐.
1421,노래도좋고 ... 비주얼이 진짜 환상적이였다는 ... 매일 꿈꾸던 이상적인 섬이였음
1422,너무 좋은영화 메릴스트립최고
1423,음악도 괜찮고 영화도 좋고.
1424,노래가 진짜 좋아요!! 그리고 배우들 목소리도 정말 감미롭습니당 ㅎㅎㅎ
1425,음악도 좋고 내용도 좋구.
1426,음악은 좋으나 역시 영화로써는 스토리가 약한듯
1427,좋아좋아!! 노래도~영상도~
1428,난 정말정말 재밌게본영화+ㅁ+ 나만만족하면되지뭘ㅋㅋ 메릴스트립 연기 쩔어!!
1429,난 엄청 재미있는데 ㅋㅋ 바보들 ㅋ
1430,전혀 새로운 영화.. 그리고 아바의 음악..
1431,노...노래와 내용은 좋아요.다만 여자 출연자들이 좀 무섭네요..(안어울리는;;)
1432,완전재미없다 ㅋㅋ
1433,재밌어요 ♡
1434,열연들이 아깝다
1435,음악과 장면들은 좋았으나 뮤지컬을 좋아하지 않는 저로서는 아쉽네요
1436,맘마미아! 짱짱 ~~ 세상에서 잴 재밌는 영화였어열 !! ^^
1437,뮤지컬을 영화로 완벽하게 승화해 냈어요  최고 !!
