키워드,언론사,기사명,날짜,URL
이투데이,"“코로나 재확산에도 끄떡없다”...인도, 올해 세계 최고 경제 성장 전망",2021.08.31.,https://www.etoday.co.kr/news/view/2058339,세계 경제
한국경제,[김동욱 기자의 세계사 속 경제사] 금속화폐뿐 아니라 지폐도 가치하락 거듭…...,2021.09.06.,https://www.hankyung.com/news/article/2021090398701,세계 경제
뉴스1,"구자열 LS회장, 지니어워즈 수상…상금 포함 5만달러 기부",2021-09-30,https://www.news1.kr/articles/?4447890,세계 경제
MBC,"급속히 늘어나는 가계부채‥""최대한 억제""",2021-09-30,https://imnews.imbc.com/replay/2021/nw1200/article/6303982_34908.html,세계 경제
전자신문,구자열 LS그룹 회장 '지니어워즈' 수상…상금 전액 기부,25면 2단,http://www.etnews.com/20210930000069,세계 경제
뉴스핌,세계경제연구원-신한금융그룹 국제컨퍼런스 개회,2021.09.02.,http://www.newspim.com/news/view/20210902000145,세계 경제
한국경제,[김동욱 기자의 세계사 속 경제사] 금속화폐뿐 아니라 지폐도 가치하락 거듭…...,2021.09.06.,https://www.hankyung.com/news/article/2021090398701,세계 경제
뉴스1,"구자열 LS회장, 지니어워즈 수상…상금 포함 5만달러 기부",2021-09-30,https://www.news1.kr/articles/?4447890,세계 경제
파이낸셜뉴스,"구광모 ""코로나 생존경쟁 치열…고객가치 경영에 더 집중해야""",11분 전,http://www.fnnews.com/news/202110011041133519,세계 경제
MBC,"급속히 늘어나는 가계부채‥""최대한 억제""",2021-09-30,https://imnews.imbc.com/replay/2021/nw1200/article/6303982_34908.html,세계 경제
전자신문,구자열 LS그룹 회장 '지니어워즈' 수상…상금 전액 기부,25면 2단,http://www.etnews.com/20210930000069,세계 경제
머니S,"""내년엔 가계대출 더 조인다""… 6→4%대로 증가세 억제",2021-10-01,http://moneys.mt.co.kr/news/mwView.php?no=2021093016108099447,세계 경제
톱스타뉴스,"중국 전력부족 사태로 비롯된 경제충격, 세계경제에 악영향 우려",2021-09-28,http://www.topstarnews.net/news/articleView.html?idxno=14633315,세계 경제
JTBC,"[중국은, 왜] '괘씸죄' 호주에 무차별 경제보복…中, 제 발등 찍었다",2021-10-01,https://news.jtbc.joins.com/article/article.aspx?news_id=NB12025416,세계 경제
한국경제,"머스크 ""암호화폐 파괴 못해…정부는 아무것도 하지 말라""",2021-09-30,https://www.hankyung.com/economy/article/202109293257i,세계 경제
데일리한국,"구광모 회장 ""재무지표 목표가 사업 목적 돼서는 안돼""",6분 전,https://daily.hankooki.com/lpage/industry/202110/dh20211001110013147950.htm?s_ref=nv,세계 경제
