키워드,언론사,기사명,날짜,URL
금강일보,[종합] 경기도 3차 재난지원금(재난기본소득) 신청일부터 대상자까지 모든 것,2021-09-30,http://www.ggilbo.com/news/articleView.html?idxno=871270,재난 지원금
뉴스1,"""서울지하철 연말 모라토리엄 우려…특별재난지원금 지원해야""",2021-09-29,https://www.news1.kr/articles/?4445611,재난 지원금
금강일보,[종합] 경기도 3차 재난지원금(재난기본소득) 신청일부터 대상자까지 모든 것,2021-09-30,http://www.ggilbo.com/news/articleView.html?idxno=871270,재난 지원금
IT동아,"5차 재난 지원금, 어디서 쓸 수 있을까?",2021-09-30,https://it.donga.com/32573/,재난 지원금
국제뉴스,[종합] '도민 100%' 경기도 재난지원금 10월 신청방법·사용처·지급시기는?,2021-09-29,http://www.gukjenews.com/news/articleView.html?idxno=2317617,재난 지원금
SK브로드밴드,[B tv 중부뉴스]‘지원금 제외 아산시민’ 오는 5일부터 지급,2021-09-30,http://ch1.skbroadband.com/content/view?parent_no=24&content_no=54&p_no=130636,재난 지원금
위클리오늘,"경기도, 상반기 자체 재난지원금 1.4조… 나머지 14개 시·도 합보다 많아",2021-09-30,http://www.weeklytoday.com/news/articleView.html?idxno=409194,재난 지원금
더팩트,전북도 긴급재난지원금 사용기한 '임박'…30일 종료,2021-09-29,http://news.tf.co.kr/read/national/1890240.htm,재난 지원금
G1방송,"춘천시, 소상공인 재난지원금 업체당 50만 원씩 지급",2021-09-30,https://www.g1tv.co.kr/index.php?type=newsLine&page=1&nth=0&viewNum=253867,재난 지원금
내일신문,국민지원금 테마관 열어 당근마켓 12월32일까지,2021-09-30,http://www.naeil.com/news_view/?id_art=400358,재난 지원금
데일리안,재난지원금 이의신청 19만5000건…정부 “최대한 구제”,2021-09-30,https://www.dailian.co.kr/news/view/1037008/?sc=Naver,재난 지원금
내일신문,국민지원금 테마관 열어 당근마켓 12월32일까지,2021-09-30,http://www.naeil.com/news_view/?id_art=400358,재난 지원금
데일리안,재난지원금 이의신청 19만5000건…정부 “최대한 구제”,2021-09-30,https://www.dailian.co.kr/news/view/1037008/?sc=Naver,재난 지원금
경남일보,"창원지역 시민단체, 창원시 예산규모에 걸맞는 재난지원금 반영 촉구",2021-10-01,http://www.gnnews.co.kr/news/articleView.html?idxno=483824,재난 지원금
조선일보,"“현금지원금으로 산 밥, 각자 계산하면 이상한가요”",2021-09-30,https://www.chosun.com/national/national_general/2021/09/29/TCXDAD5CDRAX7M4FG3OH2UA6PM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,재난 지원금
한국일보,"[단독] '재난지원금' '백신접종' 미끼… 스미싱 범죄, 코로나 업고 급증",10면 1단,https://hankookilbo.com/News/Read/A2021092810440002568?did=NA,재난 지원금
인천일보,"성남시, 대장동 이익 배당금 1000억원 재난지원금으로 사용",2021-09-30,http://www.incheonilbo.com/news/articleView.html?idxno=1114385,재난 지원금
뉴시스,"천안시, 재난지원금 못받은 12만4000여명에 모두 지급키로",2021-09-28,http://www.newsis.com/view/?id=NISX20210927_0001594251&cID=10807&pID=10800,재난 지원금
경기도민일보,"'소상공인 희망회복자금'-'경기도 전도민 재난지원금' 신청방법은? 대상자, 지...",2021-09-30,http://www.kgdm.co.kr/news/articleView.html?idxno=789522,재난 지원금
제주교통복지신문,아산시 재난기본소득 지원금 신청하세요,57분 전,http://www.jejutwn.com/news/article.html?no=94689,재난 지원금
위키트리,“재난지원금은 더치페이하면 안 되나요?” 온라인 뜨겁게 달군 카톡 내용 (사...,2021-09-30,https://www.wikitree.co.kr/articles/693027,재난 지원금
e대한경제,"고양시, 정부 재난지원금 못 받은 시민도 25만원씩 지급",2021-09-30,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202109291341245970638,재난 지원금
뉴스1,공주시의회 임시회 개회…재난지원금 지급 조례안 처리,2021-09-29,https://www.news1.kr/articles/?4445756,재난 지원금
OBS,"경기도, 3차 재난기본소득 신청 개시…10월 1일 지급 시작",2021-09-30,http://www.obsnews.co.kr/news/articleView.html?idxno=1328103,재난 지원금
매일경제TV,"권익위 ""본인명의 휴대전화 없으면 재난지원금 신청 어려워, 방법 개선해야""",2021-09-30,http://mbnmoney.mbn.co.kr/news/view?news_no=MM1004436924,재난 지원금
군포시민신문,경기도 3차 재난기본소득 10/1부터 신청,2021-09-30,http://www.mediagunpo.co.kr/sub_read.html?uid=12881&section=sc12,재난 지원금
쿠키뉴스,[원주 단신] 2차 긴급재난지원금 온라인 접수 등,2021-09-30,http://www.kukinews.com/newsView/kuk202109290138,재난 지원금
제주교통복지신문,"계룡시, 제3회 추경예산 편성˙˙˙전 시민 재난지원금 지급",2021-09-30,http://www.jejutwn.com/news/article.html?no=93824,재난 지원금
