키워드,언론사,기사명,날짜,URL
한경비즈니스,"[영상뉴스] MZ세대 소비자, 언제 지갑 열까? 코로나 이후 변화한 글로벌 소비...",2021.08.05.,https://magazine.hankyung.com/business/article/202108054273b,소비트렌드 변화
교수신문,여성과총 '친환경 과학기술과 바른 소비' 온라인 포럼 개최,2021.08.31.,http://www.kyosu.net/news/articleView.html?idxno=75346,소비트렌드 변화
AP신문,"[소비트렌드] 오리온, '스테이홈' 관련 제품 온라인 매출 호조",2021.08.20.,http://apnews.kr/View.aspx?No=2007543,소비트렌드 변화
채널예스,이미예 작가의 힐링 판타지 이야기 <달러구트 꿈 백화점 2> 4주 연속 1위 유지,2021-09-30,http://ch.yes24.com/Article/View/45981,소비트렌드 변화
뉴스웨이,"aT, K-FOOD 신북방 거점 中 동북시장 공략",2021-09-29,http://www.newsway.co.kr/news/view?tp=1&ud=2021092817375114448,소비트렌드 변화
리얼캐스트,‘든든한 동네 단골’ 코로나19로 변화하는 소비 트렌드에 ‘단지 내 상가’ ...,2021.07.16.,http://www.rcast.co.kr/sub02.php?BRD_ID=1626399001108,소비트렌드 변화
한국일보,신선식품도 아닌데... 화장품까지 '빨리빨리' 배송 속도전,2021-09-27,https://hankookilbo.com/News/Read/A2021092615000004266?did=NA,소비트렌드 변화
지피코리아,코로나19로 변화하는 소비 트렌드에 '단지 내 상가' 뜬다,2021.07.15.,http://www.gpkorea.com/news/articleView.html?idxno=75992,소비트렌드 변화
국제뉴스,"갤러리아타임월드, 지속적인 변화와 혁신 통한 트렌드 선도",2021.08.12.,http://www.gukjenews.com/news/articleView.html?idxno=2286099,소비트렌드 변화
데일리팝,[글로벌 트렌드] 코로나 비대면 시대에 홈배송·디지털로 변화하는 편의점,2021.09.06.,http://www.dailypop.kr/news/articleView.html?idxno=53714,소비트렌드 변화
이코노믹리뷰,'레이어드 홈' 트렌드 확산… 복층 구조 설계 주거공간 선호,2021.08.27.,https://www.econovill.com/news/articleView.html?idxno=546832,소비트렌드 변화
이데일리,'여행상품→집콕템'..코로나 확산에 홈쇼핑 소비트렌드도 변화,2021.07.31.,http://www.edaily.co.kr/news/newspath.asp?newsid=01154566629120096,소비트렌드 변화
제민일보,[시론담론] 중국의 디지털경제로의 전환과 소비트렌드 변화,2021.07.06.,http://www.jemin.com/news/articleView.html?idxno=720276,소비트렌드 변화
IT비즈뉴스,'레이어드 홈' 트렌드 확산… 달라지는 생활공간 설계,2021.08.23.,https://www.itbiznews.com/news/articleView.html?idxno=46848,소비트렌드 변화
세계비즈,"TS트릴리온, TS샴푸 쿠팡 판매 상위권 진입",2021-09-30,http://www.segyebiz.com/newsView/20210929516048?OutUrl=naver,소비트렌드 변화
